MES,INF,DES,CETES91
Sep 2014,4.22,5.09,2.86
Oct 2014,4.3,4.78,2.95
Nov 2014,4.17,4.53,2.92
Dic 2014,4.08,3.76,2.92
Ene 2015,3.07,4.51,2.91
Feb 2015,3,4.33,2.94
Mar 2015,3.14,3.86,3.12
Abr 2015,3.06,4.31,3.09
May 2015,2.88,4.45,3.09
Jun 2015,2.87,4.41,3.12
Jul 2015,2.74,4.72,3.13
Ago 2015,2.59,4.68,3.35
Sep 2015,2.52,4.50,3.33
Oct 2015,2.48,4.55,3.13
Nov 2015,2.21,3.96,3.22
Dic 2015,2.13,3.96,3.29
Ene 2016,2.61,4.24,3.3
Feb 2016,2.87,4.15,3.53
Mar 2016,2.6,3.74,3.91
Abr 2016,2.54,3.80,3.83
May 2016,2.6,4.03,3.94
Jun 2016,2.54,3.93,4.14
Jul 2016,2.65,4.01,4.39
Ago 2016,2.73,4.00,4.36
Sep 2016,2.97,4.14,4.48
Oct 2016,3.06,3.67,4.85
Nov 2016,3.31,3.51,5.47
Dic 2016,3.36,3.37,5.87
Ene 2017,4.72,3.59,6.25
Feb 2017,4.86,3.37,6.37
Mar 2017,5.35,3.19,6.56
Abr 2017,5.82,3.46,6.66
May 2017,6.16,3.56,6.82
Jun 2017,6.31,3.27,7.05
Jul 2017,6.44,3.41,7.08
Ago 2017,6.66,3.53,7.11
Sep 2017,6.35,3.60,7.09
Oct 2017,6.37,3.50,7.09
Nov 2017,6.63,3.42,7.13
Dic 2017,6.77,3.13,7.31
Ene 2018,5.55,3.39,7.36
Feb 2018,5.34,3.21,7.56
Mar 2018,5.04,2.94,7.65
Abr 2018,4.55,3.40,7.64
May 2018,4.51,3.22,7.74
Jun 2018,4.65,3.39,7.88
Jul 2018,4.81,3.48,7.9
Ago 2018,4.9,3.47,7.89
Sep 2018,5.02,3.60,7.92
Oct 2018,4.9,3.24,7.89
Nov 2018,4.72,3.26,8.23
Dic 2018,4.83,3.35,8.29
Ene 2019,4.37,3.57,8.23
Feb 2019,3.94,3.30,8.12
Mar 2019,4,3.25,8.09
Abr 2019,4.41,3.50,8.06
May 2019,4.28,3.51,8.22
Jun 2019,3.95,3.57,8.26
Jul 2019,3.78,3.71,8.16
Ago 2019,3.16,3.74,7.99
Sep 2019,3,3.80,7.7
Oct 2019,3.02,3.65,7.58
Nov 2019,2.97,3.44,7.47
Dic 2019,2.83,2.91,7.31
Ene 2020,3.24,3.79,7.14
Feb 2020,3.7,3.57,6.93
Mar 2020,3.25,2.94,6.83
