Empresa,Nombre_Corto,Fecha,Anio,Trimestre,Activos,Inventarios,Pasivo_Circulante,PasivoLP,UOAD,PPE,CPP,Efectivo,GC,CBV,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Acciones
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2016,2016,4,37995.141,1575.363,8748.571,19322.499,894.1090088,13673.445,3901.972,2547.842,1555.041992,3250.187988,10499.55469,265.0270081,13732.64844,1605.621948,9605.445313,6355.257324,63.40983871
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2017,2017,1,37307.656,1562.093,8387.427,18835.655,613.1430054,13720.78,3030.563,1710.086,948.9719849,3108.666016,10093.24023,291.4649963,13578.90039,1472.031982,9480.097656,6371.431641,57.75555556
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2017,2017,2,37923.921,1723.044,8683.152,19633.237,747.0689697,14062.337,3121.94,1255.629,1129.572021,3130.710938,10344.40332,337.4880066,14139.82715,1710.782959,9597.333984,6466.623047,67.64354839
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2017,2017,3,38765.432,1874.762,8942.446,20060.481,751.7360229,14695.46,3120.456,1020.539,957.9219971,3168.072021,10475.35352,341.7789917,14461.10156,1628.958008,9723.617188,6555.544922,67.42676923
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2017,2017,4,39659.257,2009.779,12783.239,16272.892,1602.647949,15772.479,3960.806,1540.403,1348.911011,3515.73999,11616.12402,336.6730042,13673.90625,1808.651978,10013.47656,6497.736328,61.02459016
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2010,2010,1,512554.822,19677.09,133522.715,173065.719,29398.32617,210017.173,29646.728,114016.835,4222.098145,54021.77734,98679.67188,1887.220947,173065.7188,51265.37891,69281.34375,15259.56641,14.12901639
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2010,2010,2,655361.821,20982.658,144250.66,218906.848,28881.25977,210457.653,30904.26,154740.215,23821.33789,56137.28125,100868.3125,2736.3479,218906.8438,49492.28125,71987.05469,15849.77344,14.83095238
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2010,2010,3,915117.186,23899.624,205248.964,341394.297,63661.58203,405305.005,30955.715,178448.073,18289.14063,112629.0859,246354.7031,7666.707031,341394.3125,95350.8125,182693.125,70064.03906,15.11515625
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2010,2010,4,892246.43,26081.529,206498.576,312082.651,30312.86328,411820.386,50003.977,114068.826,31533.83594,121732.3359,161952.4219,4990.458984,312082.6563,97903.76563,131639.5625,9907.226563,16.7196875
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2011,2011,1,879112.118,25194.056,204045.046,290992.488,38750.92578,403989.552,41000.086,93209.293,16845.30078,87390.5625,156231.75,4928.319824,290992.5,105196.7266,117480.8281,30090.26563,16.30854839
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2011,2011,2,895667.221,27745.426,235287.976,282762.701,38162.11328,413105.181,43157.726,87459.781,23047.03516,90772.10938,159702.9219,4643.074219,282762.6875,114170.4531,121540.8125,30768.70313,14.78666667
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2011,2011,3,962547.229,28868.427,244617.336,332064.865,39320.97656,429757.266,50748.203,126658.337,32433.27539,97401.11719,167258.2813,5137.125977,332064.875,111044.1797,127937.3047,30536.1875,14.29
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2011,2011,4,969856.545,34141.317,268874.284,372099.313,38329.35156,466086.772,68018.97,83363.678,47867.57813,109027.125,181962.9219,6077.187012,372099.3125,128387.2656,143633.5625,34606.4375,15.25032258
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2012,2012,1,923656.679,28837.125,246433.953,379158.361,42017.77344,476957.29,49868.626,60344.01,24216.57031,109136.3516,192497.7188,6145.919922,347712.125,113425.9766,150479.9375,41343.58594,14.55190476
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2012,2012,2,991645.397,30174.551,263638.721,437195.922,39117.0625,484606.386,52579.907,62360.981,39403.63281,110705.4609,191739.0625,6222.182129,400944.125,113237.0703,152622,41916.53906,15.8683871
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2012,2012,3,966087.709,29168.618,240952.192,421852.341,40824.14063,472264.074,52065.544,47954.902,28933.3125,110401.8984,192820.7656,6192.401855,390792.75,112090.9297,151996.625,41594.72656,16.25692308
